tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
39,1.19,51,62,50,44,1.60,43,49,50,1.38,45,52,38,32,26,38,1.39,1.65,1.34,1.29,1.26,1.34,23,23,23,2.68,2.90,2.67,45,65,49,26,32,26,55,58,48,1.34,31,37,44,40,1.38,1.34,1.56,1.33,25,23,2.94,2.67,50,49,38,26,62,48,1.43,47,40,33,37,1.47,1.33,1.27,1.34,20,23,2.73,2.67,67,49,27,26,53,48,12,12,25,62,25,25,38,33,20,20,53,27,13,40,0 - 1,Everton,West Ham Utd,pmatch.asp?league=england&stats=165-16-11-2021,Fri 1 Jan
43,1.80,51,59,50,55,1.50,47,42,50,1.38,58,43,38,13,40,38,1.97,1.43,1.34,1.10,1.10,1.34,29,17,23,3.06,2.53,2.67,58,50,49,45,17,26,58,40,48,1.34,53,37,27,40,2.07,1.34,1.33,1.33,20,23,3.40,2.67,60,49,40,26,53,48,1.43,44,40,38,37,1.25,1.33,0.88,1.34,19,23,2.13,2.67,44,49,6,26,38,48,40,27,33,53,20,7,27,50,44,25,38,19,12,12,2 - 1,Manchester Utd,Aston Villa,pmatch.asp?league=england&stats=166-2-4-2021,Fri 1 Jan
48,1.60,48,46,50,53,1.50,57,63,50,1.38,44,45,38,31,45,38,1.69,1.58,1.34,1.16,1.58,1.34,25,10,23,2.84,3.16,2.67,50,61,49,31,32,26,53,52,48,1.34,47,37,33,40,1.73,1.34,1.13,1.33,20,23,2.87,2.67,47,49,33,26,47,48,1.43,50,40,50,37,1.75,1.33,1.94,1.34,0,23,3.69,2.67,75,49,44,26,56,48,33,33,33,47,20,20,13,25,25,44,56,19,19,38,3 - 0,Tottenham,Leeds Utd,pmatch.asp?league=england&stats=169-15-10-2021,Sat 2 Jan
53,1.25,48,48,50,29,0.27,41,55,50,1.38,32,13,38,42,81,38,1.06,0.55,1.34,1.68,1.77,1.34,26,6,23,2.74,2.32,2.67,48,45,49,29,13,26,48,39,48,1.34,31,37,38,40,1.00,1.34,1.56,1.33,31,23,2.56,2.67,38,49,25,26,44,48,1.43,7,40,87,37,0.47,1.33,2.00,1.34,7,23,2.47,2.67,53,49,13,26,40,48,38,25,12,44,31,19,25,0,0,7,40,60,60,40,2 - 0,Crystal Palace,Sheffield Utd,pmatch.asp?league=england&stats=164-7-17-2021,Sat 2 Jan
42,0.88,48,50,50,50,1.19,45,56,50,1.38,23,32,38,39,42,38,1.06,1.00,1.34,1.23,1.32,1.34,39,26,23,2.29,2.32,2.67,48,42,49,16,23,26,55,48,48,1.34,12,37,38,40,1.00,1.34,1.19,1.33,50,23,2.19,2.67,44,49,19,26,56,48,1.43,31,40,44,37,0.88,1.33,1.44,1.34,25,23,2.31,2.67,44,49,25,26,38,48,38,12,19,56,31,6,25,31,19,0,38,44,31,31,3 - 3,Brighton,Wolverhampton,pmatch.asp?league=england&stats=161-19-18-2021,Sat 2 Jan
58,0.88,43,56,50,53,1.50,58,49,50,1.38,16,42,38,55,39,38,0.90,1.39,1.34,1.90,1.13,1.34,29,19,23,2.81,2.52,2.67,48,58,49,29,23,26,42,45,48,1.34,19,37,50,40,0.75,1.34,2.06,1.33,31,23,2.81,2.67,56,49,38,26,25,48,1.43,44,40,38,37,1.56,1.33,1.06,1.34,19,23,2.63,2.67,56,49,31,26,44,48,31,19,6,25,56,44,38,38,31,38,44,25,19,12,0 - 4,West Brom,Arsenal,pmatch.asp?league=england&stats=170-13-6-2021,Sat 2 Jan
53,1.13,59,49,50,61,2.13,55,43,50,1.38,26,55,38,48,29,38,1.03,1.77,1.34,1.65,1.19,1.34,26,16,23,2.68,2.97,2.67,48,58,49,19,29,26,55,52,48,1.34,27,37,40,40,1.27,1.34,1.67,1.33,33,23,2.93,2.67,67,49,27,26,80,48,1.43,62,40,12,37,1.88,1.33,1.00,1.34,25,23,2.88,2.67,56,49,19,26,62,48,7,0,20,80,20,13,33,31,25,25,62,12,6,19,1 - 2,Newcastle Utd,Leicester City,pmatch.asp?league=england&stats=167-12-14-2021,Sun 3 Jan
48,1.73,54,52,50,49,2.40,45,35,50,1.38,48,72,38,23,12,38,1.61,2.09,1.34,1.00,0.72,1.34,29,16,23,2.61,2.81,2.67,45,44,49,32,31,26,42,41,48,1.34,47,37,20,40,1.80,1.34,1.07,1.33,33,23,2.87,2.67,47,49,40,26,40,48,1.43,73,40,7,37,2.00,1.33,0.53,1.34,20,23,2.53,2.67,40,49,33,26,40,48,53,33,47,40,27,7,13,53,47,20,40,13,7,7,1 - 3,Chelsea,Manchester City,pmatch.asp?league=england&stats=163-20-3-2021,Sun 3 Jan
56,1.33,54,36,50,50,1.73,55,49,50,1.38,32,48,38,48,29,38,1.26,1.71,1.34,1.81,1.19,1.34,19,23,23,3.06,2.90,2.67,48,52,49,29,32,26,45,52,48,1.34,40,37,47,40,1.40,1.34,1.33,1.33,13,23,2.73,2.67,47,49,27,26,47,48,1.43,47,40,20,37,1.93,1.33,1.20,1.34,33,23,3.13,2.67,47,49,40,26,53,48,40,33,33,47,20,13,20,40,33,27,53,13,7,13,1 - 0,Southampton,Liverpool,pmatch.asp?league=england&stats=168-8-9-2021,Mon 4 Jan
71,0.63,59,45,50,47,0.94,41,51,50,1.38,13,26,38,81,48,38,0.55,1.03,1.34,1.77,1.65,1.34,6,26,23,2.32,2.68,2.67,45,48,49,13,19,26,39,55,48,1.34,19,37,75,40,0.63,1.34,1.56,1.33,6,23,2.19,2.67,38,49,12,26,38,48,1.43,25,40,56,37,0.81,1.33,1.63,1.34,19,23,2.44,2.67,31,49,12,26,31,48,12,12,6,38,50,50,38,25,19,6,31,50,44,31,1 - 0,Sheffield Utd,Newcastle Utd,pmatch.asp?league=england&stats=176-17-12-2021,Tue 12 Jan
