tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
54,1.16,51,50,56,45,1.58,57,70,44,1.38,24,53,38,39,32,38,1.03,1.82,1.36,1.42,1.42,1.36,37,16,24,2.45,3.24,2.72,45,66,52,21,37,28,53,58,51,1.60,26,45,37,31,1.05,1.52,1.42,1.21,37,24,2.47,2.72,37,52,21,28,47,51,1.16,47,31,37,45,2.05,1.21,2.00,1.52,16,24,4.05,2.72,84,52,58,28,79,51,21,16,16,47,37,32,21,5,5,47,79,16,16,32,1 - 1,Brighton,Chelsea,pmatch.asp?league=england_2020&stats=569-12-20-2020,Wed 1 Jan
52,1.47,56,46,56,31,0.58,46,55,44,1.38,39,24,38,37,55,38,1.13,1.08,1.36,1.32,1.76,1.36,24,21,24,2.45,2.84,2.72,47,58,52,13,26,28,39,58,51,1.60,42,45,37,31,1.26,1.52,1.21,1.21,21,24,2.47,2.72,47,52,11,28,42,51,1.16,11,31,63,45,1.00,1.21,1.95,1.52,26,24,2.95,2.72,58,52,26,28,63,51,42,37,5,42,21,16,32,0,0,16,63,37,37,32,1 - 2,Burnley,Aston Villa,pmatch.asp?league=england_2020&stats=566-7-16-2020,Wed 1 Jan
59,1.37,53,36,56,40,1.32,48,59,44,1.38,29,47,38,42,32,38,1.00,1.76,1.36,1.53,1.08,1.36,29,21,24,2.53,2.84,2.72,50,58,52,34,26,28,47,50,51,1.60,32,45,26,31,1.05,1.52,1.11,1.21,42,24,2.16,2.72,47,52,21,28,53,51,1.16,37,31,42,45,1.68,1.21,1.26,1.52,21,24,2.95,2.72,58,52,21,28,58,51,37,21,16,53,26,11,32,26,21,26,58,21,16,11,0 - 3,Newcastle Utd,Leicester City,pmatch.asp?league=england_2020&stats=563-17-5-2020,Wed 1 Jan
40,1.11,41,58,56,34,1.05,41,64,44,1.38,39,42,38,42,29,38,1.34,1.61,1.36,1.58,1.24,1.36,18,29,24,2.92,2.84,2.72,58,61,52,29,32,28,61,66,51,1.60,32,45,53,31,1.11,1.52,1.84,1.21,16,24,2.95,2.72,53,52,26,28,63,51,1.16,21,31,37,45,1.32,1.21,1.58,1.52,42,24,2.89,2.72,68,52,37,28,79,51,16,16,5,63,21,21,37,11,0,26,79,21,11,37,1 - 0,Southampton,Tottenham,pmatch.asp?league=england_2020&stats=568-8-15-2020,Wed 1 Jan
71,1.26,61,42,56,47,1.47,47,52,44,1.38,21,39,38,53,24,38,0.95,1.34,1.36,1.68,1.05,1.36,26,37,24,2.63,2.39,2.72,55,37,52,21,16,28,45,55,51,1.60,32,45,37,31,1.16,1.52,1.42,1.21,32,24,2.58,2.72,68,52,26,28,47,51,1.16,37,31,26,45,1.26,1.21,1.11,1.52,37,24,2.37,2.72,37,52,21,28,58,51,37,16,16,47,37,16,32,26,16,11,58,26,16,11,2 - 1,Watford,Wolverhampton,pmatch.asp?league=england_2020&stats=570-11-6-2020,Wed 1 Jan
58,2.47,56,37,56,37,0.95,45,62,44,1.38,68,34,38,24,39,38,2.68,1.16,1.36,0.92,1.47,1.36,8,26,24,3.61,2.63,2.72,76,47,52,53,32,28,45,58,51,1.60,79,45,11,31,3.00,1.52,0.68,1.21,11,24,3.68,2.72,84,52,47,28,42,51,1.16,26,31,58,45,1.05,1.21,1.84,1.52,16,24,2.89,2.72,58,52,32,28,58,51,53,53,47,42,5,5,11,16,11,21,58,32,26,37,2 - 1,Manchester City,Everton,pmatch.asp?league=england_2020&stats=562-4-10-2020,Wed 1 Jan
71,0.79,73,49,56,47,1.05,52,60,44,1.38,13,29,38,71,45,38,0.68,0.82,1.36,1.97,1.32,1.36,16,26,24,2.66,2.13,2.72,50,29,52,32,16,28,39,37,51,1.60,21,45,63,31,1.00,1.52,1.95,1.21,16,24,2.95,2.72,58,52,42,28,53,51,1.16,26,31,47,45,0.84,1.21,1.58,1.52,26,24,2.42,2.72,42,52,26,28,37,51,11,11,16,53,37,37,42,21,16,21,37,47,42,21,1 - 1,Norwich City,Crystal Palace,pmatch.asp?league=england_2020&stats=565-2-9-2020,Wed 1 Jan
56,1.16,61,53,56,38,0.68,45,54,44,1.38,26,24,38,50,58,38,1.29,1.05,1.36,1.63,1.71,1.36,24,18,24,2.92,2.76,2.72,50,61,52,39,34,28,53,55,51,1.60,32,45,47,31,1.58,1.52,1.74,1.21,21,24,3.32,2.72,58,52,47,28,63,51,1.16,21,31,74,45,0.95,1.21,1.84,1.52,5,24,2.79,2.72,63,52,32,28,53,51,16,16,32,63,21,21,32,11,5,16,53,42,37,37,4 - 0,West Ham Utd,Bournemouth,pmatch.asp?league=england_2020&stats=567-3-13-2020,Wed 1 Jan
64,1.89,64,50,56,44,1.53,39,53,44,1.38,37,47,38,26,21,38,1.47,1.74,1.36,1.26,0.95,1.36,37,32,24,2.74,2.68,2.72,55,42,52,34,24,28,61,47,51,1.60,53,45,16,31,1.89,1.52,1.26,1.21,32,24,3.16,2.72,68,52,42,28,68,51,1.16,42,31,32,45,1.37,1.21,1.00,1.52,26,24,2.37,2.72,26,52,11,28,37,51,26,26,26,68,5,5,26,32,32,32,37,32,32,16,2 - 0,Arsenal,Manchester Utd,pmatch.asp?league=england_2020&stats=564-18-19-2020,Wed 1 Jan
56,2.89,61,48,56,39,1.11,38,62,44,1.38,84,37,38,8,32,38,2.24,1.03,1.36,0.87,1.03,1.36,8,32,24,3.11,2.05,2.72,68,29,52,34,11,28,55,39,51,1.60,95,45,0,31,2.74,1.52,0.84,1.21,5,24,3.58,2.72,68,52,47,28,63,51,1.16,21,31,32,45,0.79,1.21,1.26,1.52,47,24,2.05,2.72,26,52,11,28,47,51,37,37,58,63,0,0,11,26,16,5,47,37,26,16,2 - 0,Liverpool,Sheffield Utd,pmatch.asp?league=england_2020&stats=561-1-14-2020,Thu 2 Jan
