tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
42,1.57,45,55,52,51,1.29,52,55,48,1.35,54,25,35,21,25,35,1.36,0.96,1.11,0.79,1.04,1.11,25,50,30,2.14,2.00,2.22,36,32,39,21,21,18,39,54,45,1.45,43,38,29,32,1.21,1.16,0.86,1.06,29,30,2.07,2.22,36,39,21,18,43,45,1.25,29,32,29,38,1.00,1.06,1.14,1.16,43,30,2.14,2.22,36,39,21,18,50,45,50,36,21,43,21,7,0,43,21,14,50,29,7,21,3 - 1,AC Ajaccio,Grenoble,pmatch.asp?league=france2_2020&stats=193-5-8-2020,Fri 10 Jan
46,1.07,46,66,52,58,0.79,62,47,48,1.35,32,14,35,39,61,35,0.93,0.75,1.11,1.14,1.54,1.11,29,25,30,2.07,2.29,2.22,43,43,39,18,25,18,29,39,45,1.45,27,38,47,32,0.80,1.16,1.40,1.06,27,30,2.20,2.22,40,39,27,18,40,45,1.25,14,32,50,38,0.93,1.06,1.43,1.16,36,30,2.36,2.22,50,39,29,18,50,45,33,13,7,40,47,27,27,21,0,29,50,50,29,29,1 - 0,Chambly,Orleans,pmatch.asp?league=france2_2020&stats=199-13-2-2020,Fri 10 Jan
48,1.71,60,56,52,51,1.86,41,32,48,1.35,50,57,35,21,32,35,1.25,1.21,1.11,0.89,0.89,1.11,29,11,30,2.14,2.11,2.22,36,39,39,18,11,18,46,43,45,1.45,50,38,29,32,1.50,1.16,1.00,1.06,21,30,2.50,2.22,43,39,29,18,50,45,1.25,57,32,29,38,1.00,1.06,0.57,1.16,14,30,1.57,2.22,14,39,7,18,21,45,21,21,36,50,29,29,7,57,50,29,21,29,21,7,3 - 2,Clermont,Troyes,pmatch.asp?league=france2_2020&stats=196-9-12-2020,Fri 10 Jan
69,1.29,53,38,52,35,0.86,39,60,48,1.35,25,29,35,57,36,35,1.07,1.11,1.11,1.61,1.07,1.11,18,36,30,2.68,2.18,2.22,54,36,39,21,29,18,50,46,45,1.45,36,38,43,32,1.14,1.16,1.21,1.06,21,30,2.36,2.22,50,39,14,18,57,45,1.25,21,32,57,38,0.86,1.06,1.29,1.16,21,30,2.14,2.22,29,39,29,18,36,45,36,21,21,57,21,7,0,14,7,0,36,57,50,14,0 - 1,Le Mans,Auxerre,pmatch.asp?league=france2_2020&stats=197-17-16-2020,Fri 10 Jan
71,1.71,59,35,52,38,1.14,42,65,48,1.35,21,39,35,21,29,35,0.96,0.86,1.11,0.93,0.71,1.11,57,32,30,1.89,1.57,2.22,32,18,39,4,11,18,61,29,45,1.45,43,38,14,32,1.14,1.16,0.64,1.06,43,30,1.79,2.22,36,39,0,18,50,45,1.25,29,32,43,38,0.71,1.06,0.93,1.16,29,30,1.64,2.22,21,39,14,18,36,45,43,21,21,50,29,7,0,29,14,7,36,50,36,7,1 - 0,Nancy,Valenciennes,pmatch.asp?league=france2_2020&stats=191-1-14-2020,Fri 10 Jan
65,1.21,53,39,52,50,1.57,53,60,48,1.35,21,39,35,50,21,35,1.07,1.36,1.11,1.46,0.89,1.11,29,39,30,2.54,2.25,2.22,36,43,39,25,21,18,50,50,45,1.45,29,38,36,32,1.14,1.16,1.14,1.06,36,30,2.29,2.22,29,39,14,18,36,45,1.25,43,32,29,38,1.43,1.06,1.07,1.16,29,30,2.50,2.22,57,39,21,18,50,45,29,21,21,36,43,36,14,29,21,29,50,29,21,29,0 - 1,Niort,Le Havre,pmatch.asp?league=france2_2020&stats=198-11-6-2020,Fri 10 Jan
66,1.50,71,53,52,62,1.50,50,39,48,1.35,29,32,35,43,43,35,1.11,0.79,1.11,1.21,1.36,1.11,29,25,30,2.32,2.14,2.22,46,39,39,11,11,18,61,43,45,1.45,43,38,36,32,1.57,1.16,1.29,1.06,21,30,2.86,2.22,57,39,14,18,71,45,1.25,43,32,36,38,0.79,1.06,1.07,1.16,21,30,1.86,2.22,36,39,0,18,36,45,14,14,36,71,14,14,29,36,29,7,36,36,29,14,1 - 2,Rodez Aveyron,Chateauroux,pmatch.asp?league=france2_2020&stats=200-15-10-2020,Fri 10 Jan
68,1.64,61,37,52,61,1.13,59,45,48,1.35,29,25,35,36,50,35,1.00,0.79,1.11,1.07,1.43,1.11,36,25,30,2.07,2.21,2.22,25,36,39,18,11,18,36,32,45,1.45,43,38,21,32,1.21,1.16,0.79,1.06,36,30,2.00,2.22,29,39,21,18,29,45,1.25,27,32,40,38,0.87,1.06,1.20,1.16,33,30,2.07,2.22,33,39,7,18,40,45,50,36,29,29,36,21,14,33,20,13,40,40,27,27,1 - 1,Sochaux,Paris FC,pmatch.asp?league=france2_2020&stats=192-3-20-2020,Fri 10 Jan
52,2.00,49,48,52,50,1.21,58,50,48,1.35,61,29,35,29,36,35,1.61,1.18,1.11,0.89,1.21,1.11,11,36,30,2.50,2.39,2.22,57,43,39,21,14,18,46,57,45,1.45,64,38,29,32,1.57,1.16,0.86,1.06,7,30,2.43,2.22,57,39,14,18,50,45,1.25,29,32,36,38,1.36,1.06,1.21,1.16,36,30,2.57,2.22,50,39,14,18,79,45,29,21,29,50,29,21,7,14,7,14,79,14,7,21,2 - 1,Lorient,Caen,pmatch.asp?league=france2_2020&stats=194-19-4-2020,Mon 13 Jan
54,1.50,50,42,52,43,1.64,51,62,48,1.35,36,54,35,32,18,35,1.43,1.39,1.11,1.18,0.86,1.11,32,29,30,2.61,2.25,2.22,46,39,39,25,21,18,54,43,45,1.45,36,38,21,32,1.43,1.16,1.00,1.06,43,30,2.43,2.22,36,39,14,18,64,45,1.25,43,32,21,38,1.43,1.06,1.07,1.16,36,30,2.50,2.22,43,39,21,18,57,45,21,21,29,64,14,14,0,29,14,29,57,29,14,29,1 - 1,Guingamp,Lens,pmatch.asp?league=france2_2020&stats=195-7-18-2020,Sat 18 Jan
