tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
56,0.74,60,43,53,42,1.74,42,60,47,1.39,16,63,39,66,21,39,0.92,2.08,1.52,2.08,1.11,1.52,18,16,22,3.00,3.18,3.04,63,74,63,26,32,34,55,66,62,1.47,16,42,58,36,1.11,1.62,1.79,1.42,26,22,2.89,3.04,68,63,21,34,58,62,1.31,53,36,32,42,1.74,1.42,1.32,1.62,16,22,3.05,3.04,79,63,26,34,79,62,16,11,11,58,32,26,47,16,11,37,79,11,5,16,1 - 2,Brescia,Lazio,pmatch.asp?league=italy_2020&stats=178-12-10-2020,Sun 5 Jan
50,0.53,59,52,53,35,0.89,38,51,47,1.39,13,32,39,74,34,39,0.71,1.24,1.52,2.03,1.34,1.52,13,34,22,2.74,2.58,3.04,58,47,63,26,18,34,53,58,62,1.47,11,42,68,36,0.84,1.62,2.11,1.42,21,22,2.95,3.04,58,63,37,34,63,62,1.31,16,36,42,42,0.95,1.42,1.37,1.62,42,22,2.32,3.04,37,63,11,34,58,62,5,5,0,63,32,32,47,26,16,11,58,26,16,16,0 - 2,SPAL,Hellas Verona,pmatch.asp?league=italy_2020&stats=179-17-15-2020,Sun 5 Jan
56,1.16,51,42,53,47,1.26,36,48,47,1.39,26,37,39,50,39,39,1.24,1.82,1.52,1.92,1.66,1.52,24,24,22,3.16,3.47,3.04,79,76,63,42,42,34,63,68,62,1.47,37,42,58,36,1.26,1.62,1.63,1.42,5,22,2.89,3.04,74,63,32,34,63,62,1.31,32,36,37,42,1.32,1.42,1.58,1.62,32,22,2.89,3.04,63,63,32,34,63,62,21,16,21,63,21,16,32,21,11,32,63,26,16,37,2 - 1,Genoa,Sassuolo,pmatch.asp?league=italy_2020&stats=177-8-14-2020,Sun 5 Jan
49,1.79,47,53,53,38,0.79,50,56,47,1.39,55,29,39,26,53,39,2.03,1.21,1.52,1.34,1.79,1.52,18,18,22,3.37,3.00,3.04,71,61,63,39,34,34,68,58,62,1.47,53,42,26,36,1.89,1.62,1.42,1.42,21,22,3.32,3.04,74,63,32,34,74,62,1.31,21,36,63,42,1.21,1.42,2.00,1.62,16,22,3.21,3.04,58,63,47,34,53,62,11,11,42,74,16,16,26,16,16,21,53,32,32,42,0 - 2,AS Roma,Torino,pmatch.asp?league=italy_2020&stats=173-7-13-2020,Sun 5 Jan
49,1.21,48,45,53,53,1.37,57,54,47,1.39,32,32,39,39,34,39,1.37,1.34,1.52,1.71,1.26,1.52,29,34,22,3.08,2.61,3.04,63,53,63,34,26,34,76,63,62,1.47,26,42,32,36,1.32,1.62,1.53,1.42,42,22,2.84,3.04,58,63,21,34,84,62,1.31,37,36,37,42,1.53,1.42,1.37,1.62,26,22,2.89,3.04,68,63,32,34,68,62,5,5,26,84,11,11,26,21,5,26,68,26,11,26,1 - 1,Bologna,Fiorentina,pmatch.asp?league=italy_2020&stats=176-16-3-2020,Mon 6 Jan
50,1.74,49,43,53,48,1.05,48,54,47,1.39,50,32,39,26,53,39,1.66,1.26,1.52,1.21,1.71,1.52,24,16,22,2.87,2.97,3.04,55,63,63,34,29,34,58,61,62,1.47,47,42,21,36,1.63,1.62,1.05,1.42,32,22,2.68,3.04,47,63,32,34,58,62,1.31,32,36,58,42,1.21,1.42,1.84,1.62,11,22,3.05,3.04,58,63,32,34,63,62,37,26,16,58,16,5,16,16,11,16,63,26,21,32,0 - 0,AC Milan,Sampdoria,pmatch.asp?league=italy_2020&stats=174-6-9-2020,Mon 6 Jan
49,2.00,52,54,53,53,1.37,54,58,47,1.39,61,37,39,16,45,39,2.58,1.47,1.52,1.26,1.50,1.52,24,18,22,3.84,2.97,3.04,71,58,63,53,37,34,68,63,62,1.47,63,42,26,36,2.68,1.62,1.37,1.42,11,22,4.05,3.04,74,63,63,34,63,62,1.31,37,36,37,42,1.58,1.42,1.74,1.62,26,22,3.32,3.04,68,63,47,34,74,62,26,26,47,63,11,11,26,11,11,37,74,16,16,47,5 - 0,Atalanta,Parma,pmatch.asp?league=italy_2020&stats=175-18-1-2020,Mon 6 Jan
60,2.63,61,40,53,44,1.05,38,50,47,1.39,68,29,39,18,39,39,2.00,1.37,1.52,1.13,1.47,1.52,13,32,22,3.13,2.84,3.04,71,50,63,34,32,34,66,58,62,1.47,84,42,5,36,2.42,1.62,0.89,1.42,11,22,3.32,3.04,74,63,42,34,58,62,1.31,21,36,37,42,1.05,1.42,1.47,1.62,42,22,2.53,3.04,53,63,26,34,58,62,42,42,58,58,0,0,16,21,16,21,58,26,21,21,4 - 0,Juventus,Cagliari,pmatch.asp?league=italy_2020&stats=171-2-11-2020,Mon 6 Jan
49,0.89,58,48,53,47,1.11,51,55,47,1.39,24,32,39,55,45,39,1.37,0.97,1.52,2.24,1.34,1.52,21,24,22,3.61,2.32,3.04,76,45,63,55,24,34,68,42,62,1.47,21,42,53,36,1.58,1.62,2.16,1.42,26,22,3.74,3.04,74,63,58,34,79,62,1.31,32,36,53,42,1.00,1.42,1.47,1.62,16,22,2.47,3.04,42,63,21,34,42,62,5,5,26,79,16,16,42,32,26,21,42,32,26,16,0 - 1,Lecce,Udinese,pmatch.asp?league=italy_2020&stats=180-20-5-2020,Mon 6 Jan
53,1.74,51,48,53,52,2.26,51,53,47,1.39,47,63,39,32,11,39,1.61,2.13,1.52,1.32,0.95,1.52,21,26,22,2.92,3.08,3.04,58,66,63,26,34,34,68,61,62,1.47,53,42,32,36,1.63,1.62,1.26,1.42,16,22,2.89,3.04,68,63,32,34,68,62,1.31,68,36,11,42,2.16,1.42,1.00,1.62,21,22,3.16,3.04,68,63,32,34,63,62,21,16,47,68,16,11,32,32,32,47,63,5,5,16,1 - 3,Napoli,Inter Milan,pmatch.asp?league=italy_2020&stats=172-4-19-2020,Mon 6 Jan
56,1.32,62,50,53,50,1.74,51,57,47,1.39,29,50,39,39,26,39,1.37,1.66,1.52,1.47,1.21,1.52,32,24,22,2.84,2.87,3.04,50,55,63,32,34,34,58,58,62,1.47,37,42,42,36,1.68,1.62,1.47,1.42,21,22,3.16,3.04,47,63,37,34,58,62,1.31,53,36,32,42,1.68,1.42,1.37,1.62,16,22,3.05,3.04,63,63,37,34,58,62,16,11,26,58,32,26,26,26,26,26,58,16,16,21,0 - 2,Cagliari,AC Milan,pmatch.asp?league=italy_2020&stats=188-11-6-2020,Sat 11 Jan
58,2.37,58,40,53,47,1.53,49,52,47,1.39,63,47,39,21,32,39,2.08,1.61,1.52,1.11,1.32,1.52,16,21,22,3.18,2.92,3.04,74,58,63,32,26,34,66,68,62,1.47,74,42,11,36,2.42,1.62,0.89,1.42,16,22,3.32,3.04,68,63,37,34,53,62,1.31,42,36,32,42,1.58,1.42,1.37,1.62,26,22,2.95,3.04,47,63,21,34,68,62,42,37,42,53,11,5,11,16,11,26,68,21,16,32,1 - 0,Lazio,Napoli,pmatch.asp?league=italy_2020&stats=183-10-4-2020,Sat 11 Jan
48,2.05,49,47,53,51,2.11,48,46,47,1.39,63,61,39,11,16,39,2.13,2.58,1.52,0.95,1.26,1.52,26,24,22,3.08,3.84,3.04,66,71,63,34,53,34,61,68,62,1.47,58,42,11,36,2.11,1.62,0.89,1.42,32,22,3.00,3.04,63,63,37,34,58,62,1.31,58,36,5,42,2.47,1.42,1.16,1.62,37,22,3.63,3.04,68,63,42,34,74,62,42,32,32,58,11,0,11,26,21,37,74,5,0,16,1 - 1,Inter Milan,Atalanta,pmatch.asp?league=italy_2020&stats=181-19-18-2020,Sat 11 Jan
